,DAY,DATE,HOME_TEAM,AWAY_TEAM,HOME_GOALS,AWAY_GOALS
0,1,2011-12-21,Atalanta,Cesena,4,1
1,1,2011-12-21,Napoli,Genoa,6,1
2,1,2011-12-21,Lazio,Chievo Verona,0,0
3,1,2011-12-21,Inter,Lecce,4,1
4,1,2011-12-21,Bologna,Roma,0,2
5,1,2011-12-21,Udinese,Juventus,0,0
6,1,2011-12-21,Parma,Catania,3,3
7,1,2011-12-21,Cagliari,Milan,0,2
8,1,2011-12-21,Novara,Palermo,2,2
9,1,2011-12-21,Siena,Fiorentina,0,0
10,2,2011-09-11,Fiorentina,Bologna,2,0
11,2,2011-09-11,Genoa,Atalanta,2,2
12,2,2011-09-11,Milan,Lazio,2,2
13,2,2011-09-11,Catania,Siena,0,0
14,2,2011-09-11,Lecce,Udinese,0,2
15,2,2011-09-11,Juventus,Parma,4,1
16,2,2011-09-11,Cesena,Napoli,1,3
17,2,2011-09-11,Roma,Cagliari,1,2
18,2,2011-09-11,Chievo Verona,Novara,2,2
19,2,2011-09-11,Palermo,Inter,4,3
20,3,2011-09-18,Catania,Cesena,1,0
21,3,2011-09-18,Inter,Roma,0,0
22,3,2011-09-18,Atalanta,Palermo,1,0
23,3,2011-09-18,Bologna,Lecce,0,2
24,3,2011-09-18,Cagliari,Novara,2,1
25,3,2011-09-18,Lazio,Genoa,1,2
26,3,2011-09-18,Napoli,Milan,3,1
27,3,2011-09-18,Parma,Chievo Verona,2,1
28,3,2011-09-18,Siena,Juventus,0,1
29,3,2011-09-18,Udinese,Fiorentina,2,0
30,4,2011-09-21,Genoa,Catania,3,0
31,4,2011-09-21,Chievo Verona,Napoli,1,0
32,4,2011-09-21,Juventus,Bologna,1,1
33,4,2011-09-21,Lecce,Atalanta,1,2
34,4,2011-09-21,Cesena,Lazio,1,2
35,4,2011-09-21,Palermo,Cagliari,3,2
36,4,2011-09-21,Roma,Siena,1,1
37,4,2011-09-21,Fiorentina,Parma,3,0
38,4,2011-09-21,Novara,Inter,3,1
39,4,2011-09-21,Milan,Udinese,1,1
40,5,2011-09-25,Lazio,Palermo,0,0
41,5,2011-09-25,Napoli,Fiorentina,0,0
42,5,2011-09-25,Chievo Verona,Genoa,2,1
43,5,2011-09-25,Atalanta,Novara,2,1
44,5,2011-09-25,Cagliari,Udinese,0,0
45,5,2011-09-25,Catania,Juventus,1,1
46,5,2011-09-25,Siena,Lecce,3,0
47,5,2011-09-25,Parma,Roma,0,1
48,5,2011-09-25,Milan,Cesena,1,0
49,5,2011-09-25,Bologna,Inter,1,3
50,6,2011-10-02,Lecce,Cagliari,0,2
51,6,2011-10-02,Roma,Atalanta,3,1
52,6,2011-10-02,Inter,Napoli,0,3
53,6,2011-10-02,Novara,Catania,3,3
54,6,2011-10-02,Cesena,Chievo Verona,0,0
55,6,2011-10-02,Fiorentina,Lazio,1,2
56,6,2011-10-02,Palermo,Siena,2,0
57,6,2011-10-02,Parma,Genoa,3,1
58,6,2011-10-02,Udinese,Bologna,2,0
59,6,2011-10-02,Juventus,Milan,2,0
60,7,2011-10-16,Novara,Bologna,0,2
61,7,2011-10-16,Milan,Palermo,3,0
62,7,2011-10-16,Lazio,Roma,2,1
63,7,2011-10-16,Genoa,Lecce,0,0
64,7,2011-10-16,Chievo Verona,Juventus,0,0
65,7,2011-10-16,Cagliari,Siena,0,0
66,7,2011-10-16,Catania,Inter,2,1
67,7,2011-10-16,Cesena,Fiorentina,0,0
68,7,2011-10-16,Napoli,Parma,1,2
69,7,2011-10-16,Atalanta,Udinese,0,0
70,8,2011-10-23,Bologna,Lazio,0,2
71,8,2011-10-23,Udinese,Novara,3,0
72,8,2011-10-23,Juventus,Genoa,2,2
73,8,2011-10-23,Roma,Palermo,1,0
74,8,2011-10-23,Lecce,Milan,3,4
75,8,2011-10-23,Siena,Cesena,2,0
76,8,2011-10-23,Cagliari,Napoli,0,0
77,8,2011-10-23,Fiorentina,Catania,2,2
78,8,2011-10-23,Inter,Chievo Verona,1,0
79,8,2011-10-23,Parma,Atalanta,1,2
80,9,2011-10-26,Novara,Siena,1,1
81,9,2011-10-26,Juventus,Fiorentina,2,1
82,9,2011-10-26,Atalanta,Inter,1,1
83,9,2011-10-26,Cesena,Cagliari,1,1
84,9,2011-10-26,Chievo Verona,Bologna,0,1
85,9,2011-10-26,Genoa,Roma,2,1
86,9,2011-10-26,Lazio,Catania,1,1
87,9,2011-10-26,Milan,Parma,4,1
88,9,2011-10-26,Napoli,Udinese,2,0
89,9,2011-10-26,Palermo,Lecce,2,0
90,10,2011-10-30,Cagliari,Lazio,0,3
91,10,2011-10-30,Lecce,Novara,1,1
92,10,2011-10-30,Fiorentina,Genoa,1,0
93,10,2011-10-30,Bologna,Atalanta,3,1
94,10,2011-10-30,Roma,Milan,2,3
95,10,2011-10-30,Inter,Juventus,1,2
96,10,2011-10-30,Catania,Napoli,2,1
97,10,2011-10-30,Parma,Cesena,2,0
98,10,2011-10-30,Siena,Chievo Verona,4,1
99,10,2011-10-30,Udinese,Palermo,1,0
100,11,2011-11-06,Napoli,Juventus,3,3
101,11,2011-11-06,Udinese,Siena,2,1
102,11,2011-11-06,Lazio,Parma,1,0
103,11,2011-11-06,Chievo Verona,Fiorentina,1,0
104,11,2011-11-06,Palermo,Bologna,3,1
105,11,2011-11-06,Cesena,Lecce,0,1
106,11,2011-11-06,Novara,Roma,0,2
107,11,2011-11-06,Milan,Catania,4,0
108,11,2011-11-06,Atalanta,Cagliari,1,0
109,11,2011-11-06,Genoa,Inter,0,1
110,12,2011-11-20,Roma,Lecce,2,1
111,12,2011-11-20,Fiorentina,Milan,0,0
112,12,2011-11-20,Siena,Atalanta,2,2
113,12,2011-11-20,Parma,Udinese,2,0
114,12,2011-11-20,Bologna,Cesena,0,1
115,12,2011-11-20,Napoli,Lazio,0,0
116,12,2011-11-20,Juventus,Palermo,3,0
117,12,2011-11-20,Genoa,Novara,1,0
118,12,2011-11-20,Catania,Chievo Verona,1,2
119,12,2011-11-20,Inter,Cagliari,2,1
120,13,2011-11-27,Novara,Parma,2,1
121,13,2011-11-27,Lazio,Juventus,0,1
122,13,2011-11-27,Cagliari,Bologna,1,1
123,13,2011-11-27,Lecce,Catania,0,1
124,13,2011-11-27,Cesena,Genoa,2,0
125,13,2011-11-27,Palermo,Fiorentina,2,0
126,13,2011-11-27,Atalanta,Napoli,1,1
127,13,2011-11-27,Milan,Chievo Verona,4,0
128,13,2011-11-27,Siena,Inter,0,1
129,13,2011-11-27,Udinese,Roma,2,0
130,14,2011-12-04,Catania,Cagliari,0,1
131,14,2011-12-04,Juventus,Cesena,2,0
132,14,2011-12-04,Bologna,Siena,1,0
133,14,2011-12-04,Parma,Palermo,0,0
134,14,2011-12-04,Genoa,Milan,0,2
135,14,2011-12-04,Fiorentina,Roma,3,0
136,14,2011-12-04,Napoli,Lecce,4,2
137,14,2011-12-04,Chievo Verona,Atalanta,0,0
138,14,2011-12-04,Lazio,Novara,3,0
139,14,2011-12-04,Inter,Udinese,0,1
140,15,2011-12-11,Roma,Juventus,1,1
141,15,2011-12-11,Novara,Napoli,1,1
142,15,2011-12-11,Siena,Genoa,0,2
143,15,2011-12-11,Bologna,Milan,2,2
144,15,2011-12-11,Inter,Fiorentina,2,0
145,15,2011-12-11,Udinese,Chievo Verona,2,1
146,15,2011-12-11,Palermo,Cesena,0,1
147,15,2011-12-11,Atalanta,Catania,1,1
148,15,2011-12-11,Cagliari,Parma,0,0
149,15,2011-12-11,Lecce,Lazio,2,3
150,16,2011-12-18,Genoa,Bologna,2,1
151,16,2011-12-18,Fiorentina,Atalanta,2,2
152,16,2011-12-18,Catania,Palermo,2,0
153,16,2011-12-18,Chievo Verona,Cagliari,2,0
154,16,2011-12-18,Cesena,Inter,0,1
155,16,2011-12-18,Milan,Siena,2,0
156,16,2011-12-18,Juventus,Novara,2,0
157,16,2011-12-18,Parma,Lecce,3,3
158,16,2011-12-18,Lazio,Udinese,2,2
159,16,2011-12-18,Napoli,Roma,1,3
