,DAY,DATE,HOME_TEAM,AWAY_TEAM,HOME_GOALS,AWAY_GOALS
0,1,2008-08-31,Udinese,Palermo,3,1
1,1,2008-08-31,Roma,Napoli,1,1
2,1,2008-08-31,Milan,Bologna,1,2
3,1,2008-08-31,Fiorentina,Juventus,1,1
4,1,2008-08-31,Chievo Verona,Reggina,2,1
5,1,2008-08-31,Catania,Genoa,1,0
6,1,2008-08-31,Torino,Lecce,3,0
7,1,2008-08-31,Atalanta,Siena,1,0
8,1,2008-08-31,Sampdoria,Inter,1,1
9,1,2008-08-31,Cagliari,Lazio,1,4
10,2,2008-09-14,Lecce,Chievo Verona,2,0
11,2,2008-09-14,Napoli,Fiorentina,2,1
12,2,2008-09-14,Palermo,Roma,3,1
13,2,2008-09-14,Genoa,Milan,2,0
14,2,2008-09-14,Reggina,Torino,1,1
15,2,2008-09-14,Bologna,Atalanta,0,1
16,2,2008-09-14,Inter,Catania,2,1
17,2,2008-09-14,Siena,Cagliari,2,0
18,2,2008-09-14,Lazio,Sampdoria,2,0
19,2,2008-09-14,Juventus,Udinese,1,0
20,3,2008-09-21,Lecce,Siena,1,1
21,3,2008-09-21,Roma,Reggina,3,0
22,3,2008-09-21,Cagliari,Juventus,0,1
23,3,2008-09-21,Fiorentina,Bologna,1,0
24,3,2008-09-21,Catania,Atalanta,1,0
25,3,2008-09-21,Palermo,Genoa,2,1
26,3,2008-09-21,Milan,Lazio,4,1
27,3,2008-09-21,Sampdoria,Chievo Verona,1,1
28,3,2008-09-21,Torino,Inter,1,3
29,3,2008-09-21,Udinese,Napoli,0,0
30,4,2008-09-24,Inter,Lecce,1,0
31,4,2008-09-24,Chievo Verona,Torino,1,1
32,4,2008-09-24,Juventus,Catania,1,1
33,4,2008-09-24,Lazio,Fiorentina,3,0
34,4,2008-09-24,Bologna,Udinese,0,3
35,4,2008-09-24,Reggina,Milan,1,2
36,4,2008-09-24,Siena,Sampdoria,0,0
37,4,2008-09-24,Genoa,Roma,3,1
38,4,2008-09-24,Atalanta,Cagliari,1,0
39,4,2008-09-24,Napoli,Palermo,2,1
40,5,2008-09-28,Torino,Lazio,1,3
41,5,2008-09-28,Bologna,Napoli,0,1
42,5,2008-09-28,Catania,Chievo Verona,1,0
43,5,2008-09-28,Lecce,Cagliari,2,0
44,5,2008-09-28,Palermo,Reggina,1,0
45,5,2008-09-28,Roma,Atalanta,2,0
46,5,2008-09-28,Udinese,Siena,2,1
47,5,2008-09-28,Milan,Inter,1,0
48,5,2008-09-28,Fiorentina,Genoa,1,0
49,5,2008-09-28,Sampdoria,Juventus,0,0
50,6,2008-10-05,Juventus,Palermo,1,2
51,6,2008-10-05,Lazio,Lecce,1,1
52,6,2008-10-05,Inter,Bologna,2,1
53,6,2008-10-05,Atalanta,Sampdoria,4,2
54,6,2008-10-05,Chievo Verona,Fiorentina,0,2
55,6,2008-10-05,Genoa,Napoli,3,2
56,6,2008-10-05,Reggina,Catania,1,1
57,6,2008-10-05,Siena,Roma,1,0
58,6,2008-10-05,Udinese,Torino,2,0
59,6,2008-10-05,Cagliari,Milan,0,0
60,7,2008-10-19,Torino,Cagliari,0,1
61,7,2008-10-19,Napoli,Juventus,2,1
62,7,2008-10-19,Roma,Inter,0,4
63,7,2008-10-19,Milan,Sampdoria,3,0
64,7,2008-10-19,Lecce,Udinese,2,2
