,DAY,DATE,HOME_TEAM,AWAY_TEAM,HOME_GOALS,AWAY_GOALS
0,1,2016-08-21,Roma,Udinese,4,0
1,1,2016-08-21,Pescara,Napoli,2,2
2,1,2016-08-21,Genoa,Cagliari,3,1
3,1,2016-08-21,Empoli,Sampdoria,0,1
4,1,2016-08-21,Chievo Verona,Inter,2,0
5,1,2016-08-21,Bologna,Crotone,1,0
6,1,2016-08-21,Palermo,Sassuolo,0,1
7,1,2016-08-21,Milan,Torino,3,2
8,1,2016-08-21,Juventus,Fiorentina,2,1
9,1,2016-08-21,Atalanta,Lazio,3,4
10,2,2016-08-28,Fiorentina,Chievo Verona,1,0
11,2,2016-08-28,Sampdoria,Atalanta,2,1
12,2,2016-08-28,Lazio,Juventus,0,1
13,2,2016-08-28,Cagliari,Roma,2,2
14,2,2016-08-28,Sassuolo,Pescara,0,3
15,2,2016-08-28,Inter,Palermo,1,1
16,2,2016-08-28,Napoli,Milan,4,2
17,2,2016-08-28,Torino,Bologna,5,1
18,2,2016-08-28,Crotone,Genoa,1,3
19,2,2016-08-28,Udinese,Empoli,2,0
20,3,2016-09-11,Chievo Verona,Lazio,1,1
21,3,2016-09-11,Palermo,Napoli,0,3
22,3,2016-09-11,Bologna,Cagliari,2,1
23,3,2016-09-11,Atalanta,Torino,2,1
24,3,2016-09-11,Juventus,Sassuolo,3,1
25,3,2016-09-11,Milan,Udinese,0,1
26,3,2016-09-11,Genoa,Fiorentina,1,0
27,3,2016-09-11,Roma,Sampdoria,3,2
28,3,2016-09-11,Pescara,Inter,1,2
29,3,2016-09-11,Empoli,Crotone,2,1
30,4,2016-09-18,Cagliari,Atalanta,3,0
31,4,2016-09-18,Napoli,Bologna,3,1
32,4,2016-09-18,Crotone,Palermo,1,1
33,4,2016-09-18,Sassuolo,Genoa,2,0
34,4,2016-09-18,Lazio,Pescara,3,0
35,4,2016-09-18,Inter,Juventus,2,1
36,4,2016-09-18,Fiorentina,Roma,1,0
37,4,2016-09-18,Udinese,Chievo Verona,1,2
38,4,2016-09-18,Sampdoria,Milan,0,1
39,4,2016-09-18,Torino,Empoli,0,0
40,5,2016-09-21,Pescara,Torino,0,0
41,5,2016-09-21,Atalanta,Palermo,0,1
42,5,2016-09-21,Chievo Verona,Sassuolo,2,1
43,5,2016-09-21,Empoli,Inter,0,2
