,DAY,DATE,HOME_TEAM,AWAY_TEAM,HOME_GOALS,AWAY_GOALS
0,1,2006-09-10,Fiorentina,Inter,2,3
1,1,2006-09-10,Sampdoria,Empoli,1,2
2,1,2006-09-10,Palermo,Reggina,4,3
3,1,2006-09-10,Milan,Lazio,2,1
4,1,2006-09-10,Messina,Udinese,1,0
5,1,2006-09-10,Chievo Verona,Siena,1,2
6,1,2006-09-10,Torino,Parma,1,1
7,1,2006-09-10,Atalanta,Ascoli Picchio,3,1
8,1,2006-09-10,Roma,Livorno,2,0
9,1,2006-09-10,Cagliari,Catania,0,1
10,2,2006-09-17,Lazio,Palermo,1,2
11,2,2006-09-17,Livorno,Fiorentina,1,0
12,2,2006-09-17,Inter,Sampdoria,1,1
13,2,2006-09-17,Catania,Atalanta,0,0
14,2,2006-09-17,Parma,Milan,0,2
15,2,2006-09-17,Ascoli Picchio,Messina,1,1
16,2,2006-09-17,Reggina,Cagliari,2,1
17,2,2006-09-17,Siena,Roma,1,3
18,2,2006-09-17,Empoli,Chievo Verona,1,1
19,2,2006-09-17,Udinese,Torino,2,0
20,3,2006-09-20,Messina,Reggina,2,0
21,3,2006-09-20,Cagliari,Livorno,2,2
22,3,2006-09-20,Chievo Verona,Lazio,0,1
23,3,2006-09-20,Fiorentina,Parma,1,0
24,3,2006-09-20,Atalanta,Empoli,0,0
25,3,2006-09-20,Milan,Ascoli Picchio,1,0
26,3,2006-09-20,Torino,Siena,1,2
27,3,2006-09-20,Palermo,Catania,5,3
28,3,2006-09-20,Roma,Inter,0,1
29,3,2006-09-20,Sampdoria,Udinese,3,3
30,4,2006-09-24,Inter,Chievo Verona,4,3
31,4,2006-09-24,Ascoli Picchio,Sampdoria,1,1
32,4,2006-09-24,Lazio,Atalanta,1,0
33,4,2006-09-24,Parma,Roma,0,4
34,4,2006-09-24,Livorno,Milan,0,0
35,4,2006-09-24,Siena,Cagliari,0,0
36,4,2006-09-24,Udinese,Fiorentina,1,0
37,4,2006-09-24,Empoli,Palermo,2,0
38,4,2006-09-24,Catania,Messina,2,2
39,4,2006-09-24,Reggina,Torino,1,1
40,5,2006-10-01,Roma,Empoli,1,0
41,5,2006-10-01,Cagliari,Inter,1,1
42,5,2006-10-01,Chievo Verona,Palermo,0,1
43,5,2006-10-01,Fiorentina,Catania,3,0
44,5,2006-10-01,Messina,Livorno,0,1
45,5,2006-10-01,Milan,Siena,0,0
46,5,2006-10-01,Sampdoria,Parma,3,2
47,5,2006-10-01,Udinese,Ascoli Picchio,0,0
48,5,2006-10-01,Torino,Lazio,0,4
49,5,2006-10-01,Atalanta,Reggina,1,1
50,6,2006-10-15,Lazio,Cagliari,0,0
51,6,2006-10-15,Siena,Messina,3,1
52,6,2006-10-15,Sampdoria,Milan,1,1
53,6,2006-10-15,Ascoli Picchio,Livorno,0,2
54,6,2006-10-15,Empoli,Fiorentina,1,2
55,6,2006-10-15,Inter,Catania,2,1
56,6,2006-10-15,Palermo,Atalanta,2,3
57,6,2006-10-15,Parma,Udinese,0,3
58,6,2006-10-15,Reggina,Roma,1,0
59,6,2006-10-15,Torino,Chievo Verona,1,0
60,7,2006-10-22,Roma,Chievo Verona,1,1
61,7,2006-10-22,Messina,Empoli,2,2
62,7,2006-10-22,Udinese,Inter,0,0
63,7,2006-10-22,Parma,Ascoli Picchio,1,0
64,7,2006-10-22,Milan,Palermo,0,2
65,7,2006-10-22,Livorno,Siena,0,0
66,7,2006-10-22,Cagliari,Torino,0,0
67,7,2006-10-22,Catania,Lazio,3,1
68,7,2006-10-22,Atalanta,Sampdoria,3,2
69,7,2006-10-22,Fiorentina,Reggina,3,0
70,8,2006-10-25,Torino,Fiorentina,0,1
71,8,2006-10-25,Sampdoria,Lazio,2,0
72,8,2006-10-25,Chievo Verona,Milan,0,1
73,8,2006-10-25,Roma,Ascoli Picchio,2,2
74,8,2006-10-25,Empoli,Udinese,1,1
75,8,2006-10-25,Siena,Catania,1,1
76,8,2006-10-25,Inter,Livorno,4,1
77,8,2006-10-25,Atalanta,Cagliari,3,3
78,8,2006-10-25,Palermo,Messina,2,1
79,8,2006-10-25,Reggina,Parma,3,2
80,9,2006-10-29,Messina,Chievo Verona,2,1
81,9,2006-10-29,Milan,Inter,3,4
82,9,2006-10-29,Udinese,Roma,0,1
83,9,2006-10-29,Ascoli Picchio,Siena,0,1
84,9,2006-10-29,Cagliari,Sampdoria,1,0
85,9,2006-10-29,Catania,Torino,1,1
86,9,2006-10-29,Fiorentina,Palermo,2,3
87,9,2006-10-29,Lazio,Reggina,0,0
88,9,2006-10-29,Livorno,Empoli,0,0
89,9,2006-10-29,Parma,Atalanta,3,1
90,10,2006-11-05,Torino,Messina,1,1
91,10,2006-11-05,Livorno,Udinese,1,0
92,10,2006-11-05,Inter,Ascoli Picchio,2,0
93,10,2006-11-05,Empoli,Lazio,1,1
94,10,2006-11-05,Siena,Parma,2,2
95,10,2006-11-05,Atalanta,Milan,2,0
96,10,2006-11-05,Reggina,Catania,0,1
97,10,2006-11-05,Palermo,Sampdoria,2,0
98,10,2006-11-05,Chievo Verona,Cagliari,0,0
99,10,2006-11-05,Roma,Fiorentina,3,1
100,11,2006-11-12,Siena,Reggina,0,1
101,11,2006-11-12,Sampdoria,Chievo Verona,3,0
102,11,2006-11-12,Palermo,Torino,3,0
103,11,2006-11-12,Lazio,Udinese,5,0
104,11,2006-11-12,Fiorentina,Atalanta,3,1
105,11,2006-11-12,Catania,Livorno,3,2
106,11,2006-11-12,Milan,Roma,1,2
107,11,2006-11-12,Parma,Inter,1,2
108,11,2006-11-12,Ascoli Picchio,Empoli,0,1
109,11,2006-11-12,Messina,Cagliari,2,2
110,12,2006-11-19,Udinese,Siena,3,0
111,12,2006-11-19,Empoli,Milan,0,0
