,DAY,DATE,HOME_TEAM,AWAY_TEAM,HOME_GOALS,AWAY_GOALS
0,1,2005-08-28,Fiorentina,Sampdoria,2,1
1,1,2005-08-28,Siena,Cagliari,2,1
2,1,2005-08-28,Reggina,Roma,0,3
3,1,2005-08-28,Parma,Palermo,1,1
4,1,2005-08-28,Lazio,Messina,1,0
5,1,2005-08-28,Juventus,Chievo Verona,1,0
6,1,2005-08-28,Udinese,Empoli,1,0
7,1,2005-08-28,Ascoli Picchio,Milan,1,1
8,1,2005-08-28,Livorno,Lecce,2,1
9,1,2005-08-28,Inter,Treviso,3,0
10,2,2005-09-11,Lecce,Ascoli Picchio,0,0
11,2,2005-09-11,Messina,Fiorentina,2,2
12,2,2005-09-11,Milan,Siena,3,1
13,2,2005-09-11,Chievo Verona,Parma,1,0
14,2,2005-09-11,Roma,Udinese,0,1
15,2,2005-09-11,Cagliari,Lazio,1,1
16,2,2005-09-11,Palermo,Inter,3,2
17,2,2005-09-11,Sampdoria,Reggina,3,2
18,2,2005-09-11,Empoli,Juventus,0,4
19,2,2005-09-11,Treviso,Livorno,0,1
20,3,2005-09-18,Juventus,Ascoli Picchio,2,1
21,3,2005-09-18,Parma,Empoli,1,0
22,3,2005-09-18,Cagliari,Messina,1,1
23,3,2005-09-18,Fiorentina,Udinese,4,2
24,3,2005-09-18,Inter,Lecce,3,0
25,3,2005-09-18,Lazio,Treviso,3,1
26,3,2005-09-18,Sampdoria,Milan,2,1
27,3,2005-09-18,Livorno,Roma,0,0
28,3,2005-09-18,Reggina,Chievo Verona,1,3
29,3,2005-09-18,Siena,Palermo,1,2
30,4,2005-09-21,Messina,Livorno,0,0
31,4,2005-09-21,Empoli,Cagliari,3,1
32,4,2005-09-21,Milan,Lazio,2,0
33,4,2005-09-21,Palermo,Reggina,1,0
34,4,2005-09-21,Chievo Verona,Inter,0,1
35,4,2005-09-21,Treviso,Sampdoria,0,2
36,4,2005-09-21,Udinese,Juventus,0,1
37,4,2005-09-21,Lecce,Fiorentina,1,3
38,4,2005-09-21,Ascoli Picchio,Siena,1,1
39,4,2005-09-21,Roma,Parma,4,1
40,5,2005-09-25,Siena,Messina,4,2
41,5,2005-09-25,Cagliari,Roma,0,0
42,5,2005-09-25,Empoli,Lecce,1,0
43,5,2005-09-25,Inter,Fiorentina,1,0
44,5,2005-09-25,Lazio,Palermo,4,2
45,5,2005-09-25,Livorno,Ascoli Picchio,2,0
46,5,2005-09-25,Sampdoria,Chievo Verona,1,2
47,5,2005-09-25,Treviso,Milan,0,2
48,5,2005-09-25,Reggina,Udinese,2,0
49,5,2005-09-25,Parma,Juventus,1,2
50,6,2005-10-02,Lecce,Cagliari,3,0
51,6,2005-10-02,Chievo Verona,Treviso,0,0
52,6,2005-10-02,Udinese,Lazio,3,0
53,6,2005-10-02,Ascoli Picchio,Parma,3,1
54,6,2005-10-02,Fiorentina,Livorno,3,2
55,6,2005-10-02,Juventus,Inter,2,0
56,6,2005-10-02,Messina,Sampdoria,1,4
57,6,2005-10-02,Milan,Reggina,2,1
58,6,2005-10-02,Palermo,Empoli,2,2
59,6,2005-10-02,Roma,Siena,2,3
60,7,2005-10-16,Parma,Treviso,1,1
61,7,2005-10-16,Siena,Udinese,2,3
62,7,2005-10-16,Reggina,Lecce,2,0
63,7,2005-10-16,Palermo,Chievo Verona,2,2
64,7,2005-10-16,Lazio,Fiorentina,1,0
65,7,2005-10-16,Inter,Livorno,5,0
66,7,2005-10-16,Juventus,Messina,1,0
67,7,2005-10-16,Cagliari,Milan,0,2
68,7,2005-10-16,Ascoli Picchio,Sampdoria,2,1
69,7,2005-10-16,Empoli,Roma,1,0
70,8,2005-10-23,Udinese,Inter,0,1
71,8,2005-10-23,Treviso,Empoli,1,2
72,8,2005-10-23,Messina,Ascoli Picchio,1,1
73,8,2005-10-23,Sampdoria,Siena,3,3
74,8,2005-10-23,Chievo Verona,Cagliari,2,1
75,8,2005-10-23,Roma,Lazio,1,1
76,8,2005-10-23,Lecce,Juventus,0,3
77,8,2005-10-23,Fiorentina,Parma,4,1
78,8,2005-10-23,Livorno,Reggina,1,0
79,8,2005-10-23,Milan,Palermo,2,1
80,9,2005-10-26,Reggina,Treviso,1,2
81,9,2005-10-26,Ascoli Picchio,Udinese,1,1
82,9,2005-10-26,Cagliari,Livorno,1,1
83,9,2005-10-26,Empoli,Milan,1,3
84,9,2005-10-26,Inter,Roma,2,3
85,9,2005-10-26,Juventus,Sampdoria,2,0
86,9,2005-10-26,Lazio,Chievo Verona,2,2
87,9,2005-10-26,Palermo,Lecce,3,0
88,9,2005-10-26,Parma,Messina,1,1
89,9,2005-10-26,Siena,Fiorentina,0,2
90,10,2005-10-30,Udinese,Palermo,0,0
91,10,2005-10-30,Reggina,Lazio,1,0
92,10,2005-10-30,Livorno,Parma,2,0
93,10,2005-10-30,Lecce,Messina,0,2
94,10,2005-10-30,Sampdoria,Inter,2,2
95,10,2005-10-30,Chievo Verona,Empoli,2,2
96,10,2005-10-30,Milan,Juventus,3,1
97,10,2005-10-30,Roma,Ascoli Picchio,2,1
98,10,2005-10-30,Fiorentina,Cagliari,2,1
99,10,2005-10-30,Treviso,Siena,0,1
