,RANKING,TEAM,POINTS,GAMES,WINS,DRAWS,LOSSES,GOALS_FOR,GOALS_AGAINST,POINTS_HOME,GAMES_HOME,WINS_HOME,DRAWS_HOME,LOSSES_HOME,GOALS_FOR_HOME,GOALS_AGAINST_HOME,POINTS_AWAY,GAMES_AWAY,WINS_AWAY,DRAWS_AWAY,LOSSES_AWAY,GOALS_FOR_AWAY,GOALS_AGAINST_AWAY,DAY
0,1,Udinese,3.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
1,2,Siena,3.0,1.0,1.0,0.0,0.0,2.0,1.0,3.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2,3,Roma,3.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,3.0,0.0,1
3,4,Fiorentina,3.0,1.0,1.0,0.0,0.0,2.0,1.0,3.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
4,5,Inter,3.0,1.0,1.0,0.0,0.0,3.0,0.0,3.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
5,6,Juventus,3.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
6,7,Lazio,3.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
7,8,Livorno,3.0,1.0,1.0,0.0,0.0,2.0,1.0,3.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
8,9,Milan,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1
9,10,Parma,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
10,11,Palermo,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1
11,12,Ascoli Picchio,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
12,13,Cagliari,0.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,1
13,14,Lecce,0.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,1
14,15,Reggina,0.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
15,16,Empoli,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1
16,17,Sampdoria,0.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,1
17,18,Chievo Verona,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1
18,19,Treviso,0.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,1
19,20,Messina,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1
0,1,Udinese,6.0,2.0,2.0,0.0,0.0,2.0,0.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,2
1,2,Juventus,6.0,2.0,2.0,0.0,0.0,5.0,0.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,1.0,1.0,0.0,0.0,4.0,0.0,2
2,3,Livorno,6.0,2.0,2.0,0.0,0.0,3.0,1.0,3.0,1.0,1.0,0.0,0.0,2.0,1.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,2
3,4,Palermo,4.0,2.0,1.0,1.0,0.0,4.0,3.0,3.0,1.0,1.0,0.0,0.0,3.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,2
4,5,Fiorentina,4.0,2.0,1.0,1.0,0.0,4.0,3.0,3.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,2.0,2.0,2
5,6,Lazio,4.0,2.0,1.0,1.0,0.0,2.0,1.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,2
6,7,Milan,4.0,2.0,1.0,1.0,0.0,4.0,2.0,3.0,1.0,1.0,0.0,0.0,3.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,2
7,8,Chievo Verona,3.0,2.0,1.0,0.0,1.0,1.0,1.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2
8,9,Siena,3.0,2.0,1.0,0.0,1.0,3.0,4.0,3.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,3.0,2
9,10,Inter,3.0,2.0,1.0,0.0,1.0,5.0,3.0,3.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,3.0,2
10,11,Sampdoria,3.0,2.0,1.0,0.0,1.0,4.0,4.0,3.0,1.0,1.0,0.0,0.0,3.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,2
11,12,Roma,3.0,2.0,1.0,0.0,1.0,3.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,3.0,1.0,1.0,0.0,0.0,3.0,0.0,2
12,13,Ascoli Picchio,2.0,2.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2
13,14,Parma,1.0,2.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2
14,15,Cagliari,1.0,2.0,0.0,1.0,1.0,2.0,3.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,2
15,16,Lecce,1.0,2.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,2
16,17,Messina,1.0,2.0,0.0,1.0,1.0,2.0,3.0,1.0,1.0,0.0,1.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2
17,18,Reggina,0.0,2.0,0.0,0.0,2.0,2.0,6.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,2.0,3.0,2
18,19,Empoli,0.0,2.0,0.0,0.0,2.0,0.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2
19,20,Treviso,0.0,2.0,0.0,0.0,2.0,0.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,2
0,1,Juventus,9.0,3.0,3.0,0.0,0.0,7.0,1.0,6.0,2.0,2.0,0.0,0.0,3.0,1.0,3.0,1.0,1.0,0.0,0.0,4.0,0.0,3
1,2,Fiorentina,7.0,3.0,2.0,1.0,0.0,8.0,5.0,6.0,2.0,2.0,0.0,0.0,6.0,3.0,1.0,1.0,0.0,1.0,0.0,2.0,2.0,3
2,3,Lazio,7.0,3.0,2.0,1.0,0.0,5.0,2.0,6.0,2.0,2.0,0.0,0.0,4.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,3
3,4,Livorno,7.0,3.0,2.0,1.0,0.0,3.0,1.0,4.0,2.0,1.0,1.0,0.0,2.0,1.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,3
4,5,Palermo,7.0,3.0,2.0,1.0,0.0,6.0,4.0,3.0,1.0,1.0,0.0,0.0,3.0,2.0,4.0,2.0,1.0,1.0,0.0,3.0,2.0,3
5,6,Udinese,6.0,3.0,2.0,0.0,1.0,4.0,4.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,2.0,1.0,0.0,1.0,3.0,4.0,3
6,7,Chievo Verona,6.0,3.0,2.0,0.0,1.0,4.0,2.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,2.0,1.0,0.0,1.0,3.0,2.0,3
7,8,Inter,6.0,3.0,2.0,0.0,1.0,8.0,3.0,6.0,2.0,2.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,3.0,3
8,9,Sampdoria,6.0,3.0,2.0,0.0,1.0,6.0,5.0,6.0,2.0,2.0,0.0,0.0,5.0,3.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,3
9,10,Parma,4.0,3.0,1.0,1.0,1.0,2.0,2.0,4.0,2.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,3
10,11,Roma,4.0,3.0,1.0,1.0,1.0,3.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,4.0,2.0,1.0,1.0,0.0,3.0,0.0,3
11,12,Milan,4.0,3.0,1.0,1.0,1.0,5.0,4.0,3.0,1.0,1.0,0.0,0.0,3.0,1.0,1.0,2.0,0.0,1.0,1.0,2.0,3.0,3
12,13,Siena,3.0,3.0,1.0,0.0,2.0,4.0,6.0,3.0,2.0,1.0,0.0,1.0,3.0,3.0,0.0,1.0,0.0,0.0,1.0,1.0,3.0,3
13,14,Ascoli Picchio,2.0,3.0,0.0,2.0,1.0,2.0,3.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,2.0,3
14,15,Cagliari,2.0,3.0,0.0,2.0,1.0,3.0,4.0,2.0,2.0,0.0,2.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,3
15,16,Messina,2.0,3.0,0.0,2.0,1.0,3.0,4.0,1.0,1.0,0.0,1.0,0.0,2.0,2.0,1.0,2.0,0.0,1.0,1.0,1.0,2.0,3
16,17,Lecce,1.0,3.0,0.0,1.0,2.0,1.0,5.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,5.0,3
17,18,Reggina,0.0,3.0,0.0,0.0,3.0,3.0,9.0,0.0,2.0,0.0,0.0,2.0,1.0,6.0,0.0,1.0,0.0,0.0,1.0,2.0,3.0,3
18,19,Empoli,0.0,3.0,0.0,0.0,3.0,0.0,6.0,0.0,1.0,0.0,0.0,1.0,0.0,4.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,3
19,20,Treviso,0.0,3.0,0.0,0.0,3.0,1.0,7.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0,1.0,6.0,3
0,1,Juventus,12.0,4.0,4.0,0.0,0.0,8.0,1.0,6.0,2.0,2.0,0.0,0.0,3.0,1.0,6.0,2.0,2.0,0.0,0.0,5.0,0.0,4
1,2,Fiorentina,10.0,4.0,3.0,1.0,0.0,11.0,6.0,6.0,2.0,2.0,0.0,0.0,6.0,3.0,4.0,2.0,1.0,1.0,0.0,5.0,3.0,4
2,3,Palermo,10.0,4.0,3.0,1.0,0.0,7.0,4.0,6.0,2.0,2.0,0.0,0.0,4.0,2.0,4.0,2.0,1.0,1.0,0.0,3.0,2.0,4
3,4,Inter,9.0,4.0,3.0,0.0,1.0,9.0,3.0,6.0,2.0,2.0,0.0,0.0,6.0,0.0,3.0,2.0,1.0,0.0,1.0,3.0,3.0,4
4,5,Sampdoria,9.0,4.0,3.0,0.0,1.0,8.0,5.0,6.0,2.0,2.0,0.0,0.0,5.0,3.0,3.0,2.0,1.0,0.0,1.0,3.0,2.0,4
5,6,Livorno,8.0,4.0,2.0,2.0,0.0,3.0,1.0,4.0,2.0,1.0,1.0,0.0,2.0,1.0,4.0,2.0,1.0,1.0,0.0,1.0,0.0,4
6,7,Lazio,7.0,4.0,2.0,1.0,1.0,5.0,4.0,6.0,2.0,2.0,0.0,0.0,4.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,3.0,4
7,8,Roma,7.0,4.0,2.0,1.0,1.0,7.0,2.0,3.0,2.0,1.0,0.0,1.0,4.0,2.0,4.0,2.0,1.0,1.0,0.0,3.0,0.0,4
8,9,Milan,7.0,4.0,2.0,1.0,1.0,7.0,4.0,6.0,2.0,2.0,0.0,0.0,5.0,1.0,1.0,2.0,0.0,1.0,1.0,2.0,3.0,4
9,10,Udinese,6.0,4.0,2.0,0.0,2.0,4.0,5.0,3.0,2.0,1.0,0.0,1.0,1.0,1.0,3.0,2.0,1.0,0.0,1.0,3.0,4.0,4
10,11,Chievo Verona,6.0,4.0,2.0,0.0,2.0,4.0,3.0,3.0,2.0,1.0,0.0,1.0,1.0,1.0,3.0,2.0,1.0,0.0,1.0,3.0,2.0,4
11,12,Parma,4.0,4.0,1.0,1.0,2.0,3.0,6.0,4.0,2.0,1.0,1.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0,2.0,1.0,5.0,4
12,13,Siena,4.0,4.0,1.0,1.0,2.0,5.0,7.0,3.0,2.0,1.0,0.0,1.0,3.0,3.0,1.0,2.0,0.0,1.0,1.0,2.0,4.0,4
13,14,Ascoli Picchio,3.0,4.0,0.0,3.0,1.0,3.0,4.0,2.0,2.0,0.0,2.0,0.0,2.0,2.0,1.0,2.0,0.0,1.0,1.0,1.0,2.0,4
14,15,Empoli,3.0,4.0,1.0,0.0,3.0,3.0,7.0,3.0,2.0,1.0,0.0,1.0,3.0,5.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,4
