,RANKING,TEAM,POINTS,GAMES,WINS,DRAWS,LOSSES,GOALS_FOR,GOALS_AGAINST,POINTS_HOME,GAMES_HOME,WINS_HOME,DRAWS_HOME,LOSSES_HOME,GOALS_FOR_HOME,GOALS_AGAINST_HOME,POINTS_AWAY,GAMES_AWAY,WINS_AWAY,DRAWS_AWAY,LOSSES_AWAY,GOALS_FOR_AWAY,GOALS_AGAINST_AWAY,DAY
0,1,Udinese,3.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,1
1,2,Torino,3.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,2.0,1.0,1
2,3,Chievo Verona,3.0,1.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,3.0,1.0,1
3,4,Sassuolo,3.0,1.0,1.0,0.0,0.0,2.0,1.0,3.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
4,5,Fiorentina,3.0,1.0,1.0,0.0,0.0,2.0,0.0,3.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
5,6,Sampdoria,3.0,1.0,1.0,0.0,0.0,5.0,2.0,3.0,1.0,1.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
6,7,Inter,3.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
7,8,Palermo,3.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
8,9,Lazio,3.0,1.0,1.0,0.0,0.0,2.0,1.0,3.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
9,10,Roma,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1
