,RANKING,TEAM,POINTS,GAMES,WINS,DRAWS,LOSSES,GOALS_FOR,GOALS_AGAINST,POINTS_HOME,GAMES_HOME,WINS_HOME,DRAWS_HOME,LOSSES_HOME,GOALS_FOR_HOME,GOALS_AGAINST_HOME,POINTS_AWAY,GAMES_AWAY,WINS_AWAY,DRAWS_AWAY,LOSSES_AWAY,GOALS_FOR_AWAY,GOALS_AGAINST_AWAY,DAY
0,1,Milan,3.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,3.0,0.0,1
1,2,Cagliari,3.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,2.0,0.0,1
2,3,Sampdoria,3.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,2.0,1.0,1
3,4,Fiorentina,3.0,1.0,1.0,0.0,0.0,3.0,1.0,3.0,1.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
4,5,Roma,3.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,2.0,0.0,1
5,6,Juventus,3.0,1.0,1.0,0.0,0.0,5.0,1.0,3.0,1.0,1.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
6,7,Torino,1.0,1.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0,2.0,1
7,8,Reggina,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
8,9,Parma,1.0,1.0,0.0,1.0,0.0,2.0,2.0,1.0,1.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
9,10,Atalanta,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1
10,11,Lazio,1.0,1.0,0.0,1.0,0.0,2.0,2.0,1.0,1.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
11,12,Inter,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
12,13,Catania,1.0,1.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0,2.0,1
13,14,Udinese,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1
14,15,Livorno,0.0,1.0,0.0,0.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,5.0,1
15,16,Napoli,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
16,17,Palermo,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
17,18,Genoa,0.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
18,19,Empoli,0.0,1.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,3.0,1
19,20,Siena,0.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0,1,Roma,6.0,2.0,2.0,0.0,0.0,5.0,0.0,3.0,1.0,1.0,0.0,0.0,3.0,0.0,3.0,1.0,1.0,0.0,0.0,2.0,0.0,2
1,2,Juventus,6.0,2.0,2.0,0.0,0.0,8.0,3.0,3.0,1.0,1.0,0.0,0.0,5.0,1.0,3.0,1.0,1.0,0.0,0.0,3.0,2.0,2
2,3,Atalanta,4.0,2.0,1.0,1.0,0.0,3.0,1.0,3.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,2
3,4,Inter,4.0,2.0,1.0,1.0,0.0,3.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,3.0,1.0,1.0,0.0,0.0,2.0,0.0,2
4,5,Sampdoria,4.0,2.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,2.0,1.0,2
5,6,Milan,4.0,2.0,1.0,1.0,0.0,4.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,3.0,1.0,1.0,0.0,0.0,3.0,0.0,2
6,7,Fiorentina,4.0,2.0,1.0,1.0,0.0,4.0,2.0,3.0,1.0,1.0,0.0,0.0,3.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,2
7,8,Cagliari,3.0,2.0,1.0,0.0,1.0,4.0,3.0,0.0,1.0,0.0,0.0,1.0,2.0,3.0,3.0,1.0,1.0,0.0,0.0,2.0,0.0,2
8,9,Napoli,3.0,2.0,1.0,0.0,1.0,5.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,3.0,1.0,1.0,0.0,0.0,5.0,0.0,2
9,10,Palermo,3.0,2.0,1.0,0.0,1.0,4.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,3.0,1.0,1.0,0.0,0.0,4.0,2.0,2
10,11,Lazio,2.0,2.0,0.0,2.0,0.0,2.0,2.0,1.0,1.0,0.0,1.0,0.0,2.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2
11,12,Reggina,2.0,2.0,0.0,2.0,0.0,3.0,3.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,2.0,2.0,2
12,13,Catania,2.0,2.0,0.0,2.0,0.0,2.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0,2.0,2
13,14,Torino,2.0,2.0,0.0,2.0,0.0,4.0,4.0,1.0,1.0,0.0,1.0,0.0,2.0,2.0,1.0,1.0,0.0,1.0,0.0,2.0,2.0,2
14,15,Genoa,1.0,2.0,0.0,1.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2
15,16,Parma,1.0,2.0,0.0,1.0,1.0,2.0,4.0,1.0,1.0,0.0,1.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,2
16,17,Udinese,1.0,2.0,0.0,1.0,1.0,1.0,6.0,0.0,1.0,0.0,0.0,1.0,0.0,5.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,2
17,18,Livorno,0.0,2.0,0.0,0.0,2.0,3.0,9.0,0.0,1.0,0.0,0.0,1.0,2.0,4.0,0.0,1.0,0.0,0.0,1.0,1.0,5.0,2
18,19,Empoli,0.0,2.0,0.0,0.0,2.0,1.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,3.0,2
19,20,Siena,0.0,2.0,0.0,0.0,2.0,1.0,5.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,2
0,1,Roma,9.0,3.0,3.0,0.0,0.0,7.0,0.0,3.0,1.0,1.0,0.0,0.0,3.0,0.0,6.0,2.0,2.0,0.0,0.0,4.0,0.0,3
1,2,Inter,7.0,3.0,2.0,1.0,0.0,5.0,1.0,4.0,2.0,1.0,1.0,0.0,3.0,1.0,3.0,1.0,1.0,0.0,0.0,2.0,0.0,3
2,3,Napoli,6.0,3.0,2.0,0.0,1.0,7.0,2.0,3.0,2.0,1.0,0.0,1.0,2.0,2.0,3.0,1.0,1.0,0.0,0.0,5.0,0.0,3
3,4,Juventus,6.0,3.0,2.0,0.0,1.0,8.0,4.0,3.0,2.0,1.0,0.0,1.0,5.0,2.0,3.0,1.0,1.0,0.0,0.0,3.0,2.0,3
4,5,Atalanta,5.0,3.0,1.0,2.0,0.0,5.0,3.0,3.0,1.0,1.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,2.0,0.0,3.0,3.0,3
5,6,Milan,5.0,3.0,1.0,2.0,0.0,5.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,4.0,2.0,1.0,1.0,0.0,4.0,1.0,3
6,7,Fiorentina,5.0,3.0,1.0,2.0,0.0,6.0,4.0,4.0,2.0,1.0,1.0,0.0,5.0,3.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,3
7,8,Cagliari,4.0,3.0,1.0,1.0,1.0,5.0,4.0,0.0,1.0,0.0,0.0,1.0,2.0,3.0,4.0,2.0,1.0,1.0,0.0,3.0,1.0,3
8,9,Palermo,4.0,3.0,1.0,1.0,1.0,5.0,5.0,1.0,2.0,0.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,0.0,0.0,4.0,2.0,3
9,10,Sampdoria,4.0,3.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,1.0,2.0,3.0,3
