,DAY,DATE,HOME_TEAM,AWAY_TEAM,HOME_GOALS,AWAY_GOALS
0,1,2014-08-31,Chievo Verona,Juventus,0,1
1,1,2014-08-31,Torino,Inter,0,0
2,1,2014-08-31,Sassuolo,Cagliari,1,1
3,1,2014-08-31,Palermo,Sampdoria,1,1
4,1,2014-08-31,Genoa,Napoli,1,2
5,1,2014-08-31,Cesena,Parma,1,0
6,1,2014-08-31,Udinese,Empoli,2,0
7,1,2014-08-31,Atalanta,Hellas Verona,0,0
8,1,2014-08-31,Roma,Fiorentina,2,0
9,1,2014-08-31,Milan,Lazio,3,1
10,2,2014-09-14,Inter,Sassuolo,7,0
11,2,2014-09-14,Lazio,Cesena,3,0
12,2,2014-09-14,Empoli,Roma,0,1
13,2,2014-09-14,Cagliari,Atalanta,1,2
14,2,2014-09-14,Napoli,Chievo Verona,0,1
15,2,2014-09-14,Sampdoria,Torino,2,0
16,2,2014-09-14,Juventus,Udinese,2,0
17,2,2014-09-14,Parma,Milan,4,5
18,2,2014-09-14,Fiorentina,Genoa,0,0
19,2,2014-09-14,Hellas Verona,Palermo,2,1
20,3,2014-09-21,Roma,Cagliari,2,0
21,3,2014-09-21,Milan,Juventus,0,1
22,3,2014-09-21,Chievo Verona,Parma,2,3
23,3,2014-09-21,Genoa,Lazio,1,0
24,3,2014-09-21,Cesena,Empoli,2,2
25,3,2014-09-21,Sassuolo,Sampdoria,0,0
26,3,2014-09-21,Torino,Hellas Verona,0,1
27,3,2014-09-21,Atalanta,Fiorentina,0,1
28,3,2014-09-21,Udinese,Napoli,1,0
29,3,2014-09-21,Palermo,Inter,1,1
30,4,2014-09-24,Inter,Atalanta,2,0
31,4,2014-09-24,Fiorentina,Sassuolo,0,0
32,4,2014-09-24,Juventus,Cesena,3,0
33,4,2014-09-24,Napoli,Palermo,3,3
34,4,2014-09-24,Cagliari,Torino,1,2
35,4,2014-09-24,Sampdoria,Chievo Verona,2,1
36,4,2014-09-24,Lazio,Udinese,0,1
37,4,2014-09-24,Hellas Verona,Genoa,2,2
38,4,2014-09-24,Empoli,Milan,2,2
39,4,2014-09-24,Parma,Roma,1,2
40,5,2014-09-28,Genoa,Sampdoria,0,1
41,5,2014-09-28,Sassuolo,Napoli,0,1
42,5,2014-09-28,Cesena,Milan,1,1
43,5,2014-09-28,Chievo Verona,Empoli,1,1
44,5,2014-09-28,Inter,Cagliari,1,4
45,5,2014-09-28,Torino,Fiorentina,1,1
46,5,2014-09-28,Udinese,Parma,4,2
47,5,2014-09-28,Palermo,Lazio,0,4
48,5,2014-09-28,Atalanta,Juventus,0,3
49,5,2014-09-28,Roma,Hellas Verona,2,0
50,6,2014-10-05,Sampdoria,Atalanta,1,0
51,6,2014-10-05,Hellas Verona,Cagliari,1,0
52,6,2014-10-05,Milan,Chievo Verona,2,0
53,6,2014-10-05,Empoli,Palermo,3,0
