,DAY,DATE,HOME_TEAM,AWAY_TEAM,HOME_GOALS,AWAY_GOALS
0,1,2012-08-26,Fiorentina,Udinese,2,1
1,1,2012-08-26,Siena,Torino,0,0
2,1,2012-08-26,Pescara,Inter,0,3
3,1,2012-08-26,Palermo,Napoli,0,3
4,1,2012-08-26,Genoa,Cagliari,2,0
5,1,2012-08-26,Chievo Verona,Bologna,2,0
6,1,2012-08-26,Roma,Catania,2,2
7,1,2012-08-26,Milan,Sampdoria,0,1
8,1,2012-08-26,Juventus,Parma,2,0
9,1,2012-08-26,Atalanta,Lazio,0,1
10,2,2012-09-02,Inter,Roma,1,3
11,2,2012-09-02,Lazio,Palermo,3,0
12,2,2012-09-02,Torino,Pescara,3,0
13,2,2012-09-02,Cagliari,Atalanta,1,1
14,2,2012-09-02,Napoli,Fiorentina,2,1
15,2,2012-09-02,Udinese,Juventus,1,4
16,2,2012-09-02,Bologna,Milan,1,3
17,2,2012-09-02,Parma,Chievo Verona,2,0
18,2,2012-09-02,Catania,Genoa,3,2
19,2,2012-09-02,Sampdoria,Siena,2,1
20,3,2012-09-16,Genoa,Juventus,1,3
21,3,2012-09-16,Milan,Atalanta,0,1
22,3,2012-09-16,Chievo Verona,Lazio,1,3
23,3,2012-09-16,Fiorentina,Catania,2,0
24,3,2012-09-16,Palermo,Cagliari,1,1
25,3,2012-09-16,Napoli,Parma,3,1
26,3,2012-09-16,Torino,Inter,0,2
27,3,2012-09-16,Pescara,Sampdoria,2,3
28,3,2012-09-16,Siena,Udinese,2,2
29,3,2012-09-16,Roma,Bologna,2,3
30,4,2012-09-23,Bologna,Pescara,1,1
31,4,2012-09-23,Sampdoria,Torino,1,1
32,4,2012-09-23,Cagliari,Roma,0,3
33,4,2012-09-23,Catania,Napoli,0,0
34,4,2012-09-23,Juventus,Chievo Verona,2,0
35,4,2012-09-23,Udinese,Milan,2,1
36,4,2012-09-23,Lazio,Genoa,0,1
37,4,2012-09-23,Atalanta,Palermo,1,0
