,DAY,DATE,HOME_TEAM,AWAY_TEAM,HOME_GOALS,AWAY_GOALS
0,1,2013-08-25,Hellas Verona,Milan,2,1
1,1,2013-08-25,Torino,Sassuolo,2,0
2,1,2013-08-25,Parma,Chievo Verona,0,0
3,1,2013-08-25,Napoli,Bologna,3,0
4,1,2013-08-25,Livorno,Roma,0,2
5,1,2013-08-25,Lazio,Udinese,2,1
6,1,2013-08-25,Fiorentina,Catania,2,1
7,1,2013-08-25,Inter,Genoa,2,0
8,1,2013-08-25,Sampdoria,Juventus,0,1
9,1,2013-08-25,Cagliari,Atalanta,2,1
10,2,2013-09-01,Catania,Inter,0,3
11,2,2013-09-01,Genoa,Fiorentina,2,5
12,2,2013-09-01,Chievo Verona,Napoli,2,4
13,2,2013-09-01,Atalanta,Torino,2,0
14,2,2013-09-01,Milan,Cagliari,3,1
15,2,2013-09-01,Roma,Hellas Verona,3,0
16,2,2013-09-01,Juventus,Lazio,4,1
17,2,2013-09-01,Sassuolo,Livorno,1,4
18,2,2013-09-01,Bologna,Sampdoria,2,2
19,2,2013-09-01,Udinese,Parma,3,1
20,3,2013-09-15,Hellas Verona,Sassuolo,2,0
21,3,2013-09-15,Napoli,Atalanta,2,0
22,3,2013-09-15,Torino,Milan,2,2
23,3,2013-09-15,Fiorentina,Cagliari,1,1
24,3,2013-09-15,Inter,Juventus,1,1
25,3,2013-09-15,Lazio,Chievo Verona,3,0
26,3,2013-09-15,Parma,Roma,1,3
27,3,2013-09-15,Livorno,Catania,2,0
28,3,2013-09-15,Udinese,Bologna,1,1
29,3,2013-09-15,Sampdoria,Genoa,0,3
30,4,2013-09-22,Atalanta,Fiorentina,0,2
31,4,2013-09-22,Genoa,Livorno,0,0
32,4,2013-09-22,Bologna,Torino,1,2
33,4,2013-09-22,Catania,Parma,0,0
34,4,2013-09-22,Chievo Verona,Udinese,2,1
35,4,2013-09-22,Roma,Lazio,2,0
36,4,2013-09-22,Milan,Napoli,1,2
37,4,2013-09-22,Sassuolo,Inter,0,7
38,4,2013-09-22,Cagliari,Sampdoria,2,2
39,4,2013-09-22,Juventus,Hellas Verona,2,1
40,5,2013-09-25,Sampdoria,Roma,0,2
41,5,2013-09-25,Chievo Verona,Juventus,1,2
42,5,2013-09-25,Lazio,Catania,3,1
