,RANKING,TEAM,POINTS,GAMES,WINS,DRAWS,LOSSES,GOALS_FOR,GOALS_AGAINST,POINTS_HOME,GAMES_HOME,WINS_HOME,DRAWS_HOME,LOSSES_HOME,GOALS_FOR_HOME,GOALS_AGAINST_HOME,POINTS_AWAY,GAMES_AWAY,WINS_AWAY,DRAWS_AWAY,LOSSES_AWAY,GOALS_FOR_AWAY,GOALS_AGAINST_AWAY
0,1,Juventus,91,38,29,4,5,75,20,50,19,16,2,1,37,6,41,19,13,2,4,38,14
1,2,Napoli,82,38,25,7,6,80,32,51,19,16,3,0,49,12,31,19,9,4,6,31,20
2,3,Roma,80,38,23,11,4,83,41,44,19,13,5,1,44,17,36,19,10,6,3,39,24
3,4,Inter,67,38,20,7,11,50,38,41,19,13,2,4,29,15,26,19,7,5,7,21,23
4,5,Fiorentina,64,38,18,10,10,60,42,38,19,11,5,3,34,16,26,19,7,5,7,26,26
5,6,Sassuolo,61,38,16,13,9,49,40,32,19,8,8,3,25,20,29,19,8,5,6,24,20
6,7,Milan,57,38,15,12,11,49,43,33,19,9,6,4,28,22,24,19,6,6,7,21,21
7,8,Lazio,54,38,15,9,14,52,52,33,19,10,3,6,32,23,21,19,5,6,8,20,29
8,9,Chievo Verona,50,38,13,11,14,43,45,29,19,7,8,4,25,18,21,19,6,3,10,18,27
9,10,Empoli,46,38,12,10,16,40,49,27,19,7,6,6,22,20,19,19,5,4,10,18,29
10,11,Genoa,46,38,13,7,18,45,48,33,19,10,3,6,29,19,13,19,3,4,12,16,29
11,12,Torino,45,38,12,9,17,52,55,24,19,6,6,7,25,25,21,19,6,3,10,27,30
12,13,Atalanta,45,38,11,12,15,41,47,30,19,8,6,5,27,21,15,19,3,6,10,14,26
13,14,Bologna,42,38,11,9,18,33,45,20,19,5,5,9,20,21,22,19,6,4,9,13,24
14,15,Sampdoria,40,38,10,10,18,48,61,28,19,8,4,7,29,25,12,19,2,6,11,19,36
15,16,Palermo,39,38,10,9,19,38,65,22,19,6,4,9,24,30,17,19,4,5,10,14,35
16,17,Udinese,39,38,10,9,19,35,60,22,19,6,4,9,18,28,17,19,4,5,10,17,32
17,18,Carpi,38,38,9,11,18,37,57,23,19,6,5,8,23,26,15,19,3,6,10,14,31
18,19,Frosinone,31,38,8,7,23,35,76,22,19,6,4,9,18,26,9,19,2,3,14,17,50
19,20,Hellas Verona,28,38,5,13,20,34,63,18,19,4,6,9,21,30,10,19,1,7,11,13,33
