,RANKING,TEAM,POINTS,GAMES,WINS,DRAWS,LOSSES,GOALS_FOR,GOALS_AGAINST,POINTS_HOME,GAMES_HOME,WINS_HOME,DRAWS_HOME,LOSSES_HOME,GOALS_FOR_HOME,GOALS_AGAINST_HOME,POINTS_AWAY,GAMES_AWAY,WINS_AWAY,DRAWS_AWAY,LOSSES_AWAY,GOALS_FOR_AWAY,GOALS_AGAINST_AWAY
0,1,Inter,85,38,25,10,3,69,26,48,19,15,3,1,41,14,37,19,10,7,2,28,12
1,2,Roma,82,38,24,10,4,72,37,48,19,15,3,1,43,20,34,19,9,7,3,29,17
2,3,Juventus,72,38,20,12,6,72,37,41,19,12,5,2,39,12,31,19,8,7,4,33,25
3,4,Fiorentina,66,38,19,9,10,55,39,40,19,12,4,3,35,18,26,19,7,5,7,20,21
4,5,Milan,64,38,18,10,10,66,38,31,19,8,7,4,31,18,33,19,10,3,6,35,20
5,6,Sampdoria,60,38,17,9,12,56,46,37,19,10,7,2,35,18,23,19,7,2,10,21,28
6,7,Udinese,57,38,16,9,13,48,53,31,19,9,4,6,30,29,26,19,7,5,7,18,24
7,8,Napoli,50,38,14,8,16,50,53,37,19,11,4,4,27,16,13,19,3,4,12,23,37
8,9,Genoa,48,38,13,9,16,44,52,28,19,8,4,7,23,22,20,19,5,5,9,21,30
9,10,Atalanta,48,38,12,12,14,52,56,31,19,8,7,4,36,28,17,19,4,5,10,16,28
10,11,Palermo,47,38,12,11,15,47,57,31,19,8,7,4,25,21,16,19,4,4,11,22,36
11,12,Lazio,46,38,11,13,14,47,51,31,19,9,4,6,28,23,15,19,2,9,8,19,28
12,13,Siena,44,38,9,17,12,40,45,27,19,6,9,4,24,17,17,19,3,8,8,16,28
13,14,Cagliari,42,38,11,9,18,40,56,29,19,8,5,6,22,20,13,19,3,4,12,18,36
14,15,Reggina,40,38,9,13,16,37,56,29,19,8,5,6,24,19,11,19,1,8,10,13,37
15,16,Torino,40,38,8,16,14,36,49,22,19,5,7,7,19,19,18,19,3,9,7,17,30
16,17,Catania,37,38,8,13,17,33,45,30,19,8,6,5,21,14,7,19,0,7,12,12,31
17,18,Empoli,36,38,9,9,20,29,52,22,19,5,7,7,18,21,14,19,4,2,13,11,31
18,19,Parma,34,38,7,13,18,42,62,27,19,7,6,6,28,26,7,19,0,7,12,14,36
19,20,Livorno,30,38,6,12,20,35,60,17,19,3,8,8,18,28,13,19,3,4,12,17,32
