,RANKING,TEAM,POINTS,GAMES,WINS,DRAWS,LOSSES,GOALS_FOR,GOALS_AGAINST,POINTS_HOME,GAMES_HOME,WINS_HOME,DRAWS_HOME,LOSSES_HOME,GOALS_FOR_HOME,GOALS_AGAINST_HOME,POINTS_AWAY,GAMES_AWAY,WINS_AWAY,DRAWS_AWAY,LOSSES_AWAY,GOALS_FOR_AWAY,GOALS_AGAINST_AWAY
0,1,Juventus,102,38,33,3,2,80,23,57,19,19,0,0,47,9,45,19,14,3,2,33,14
1,2,Roma,85,38,26,7,5,72,25,48,19,15,3,1,44,9,37,19,11,4,4,28,16
2,3,Napoli,78,38,23,9,6,77,39,43,19,13,4,2,43,15,35,19,10,5,4,34,24
3,4,Fiorentina,65,38,19,8,11,65,44,31,19,9,4,6,36,29,34,19,10,4,5,29,15
4,5,Inter,60,38,15,15,8,62,39,33,19,8,9,2,27,18,27,19,7,6,6,35,21
5,6,Parma,58,38,15,13,10,58,46,34,19,9,7,3,27,18,24,19,6,6,7,31,28
6,7,Milan,57,38,16,9,13,57,49,37,19,11,4,4,28,17,20,19,5,5,9,29,32
7,8,Torino,57,38,15,12,11,58,48,33,19,9,6,4,31,20,24,19,6,6,7,27,28
8,9,Lazio,56,38,15,11,12,54,54,36,19,10,6,3,32,21,20,19,5,5,9,22,33
9,10,Hellas Verona,54,38,16,6,16,62,68,33,19,10,3,6,35,28,21,19,6,3,10,27,40
10,11,Atalanta,50,38,15,5,18,43,51,36,19,11,3,5,28,22,14,19,4,2,13,15,29
11,12,Sampdoria,45,38,12,9,17,48,62,26,19,7,5,7,28,29,19,19,5,4,10,20,33
12,13,Genoa,44,38,11,11,16,41,50,29,19,8,5,6,22,19,15,19,3,6,10,19,31
13,14,Udinese,44,38,12,8,18,46,57,31,19,9,4,6,27,24,13,19,3,4,12,19,33
14,15,Cagliari,39,38,9,12,17,34,53,28,19,8,4,7,24,27,11,19,1,8,10,10,26
15,16,Chievo Verona,36,38,10,6,22,34,54,20,19,6,2,11,19,22,16,19,4,4,11,15,32
16,17,Sassuolo,34,38,9,7,22,43,72,17,19,5,2,12,23,39,17,19,4,5,10,20,33
17,18,Catania,32,38,8,8,22,34,66,27,19,7,6,6,25,25,5,19,1,2,16,9,41
18,19,Bologna,29,38,5,14,19,28,58,17,19,3,8,8,15,27,12,19,2,6,11,13,31
19,20,Livorno,25,38,6,7,25,39,77,17,19,4,5,10,23,33,8,19,2,2,15,16,44
