,RANKING,TEAM,POINTS,GAMES,WINS,DRAWS,LOSSES,GOALS_FOR,GOALS_AGAINST,POINTS_HOME,GAMES_HOME,WINS_HOME,DRAWS_HOME,LOSSES_HOME,GOALS_FOR_HOME,GOALS_AGAINST_HOME,POINTS_AWAY,GAMES_AWAY,WINS_AWAY,DRAWS_AWAY,LOSSES_AWAY,GOALS_FOR_AWAY,GOALS_AGAINST_AWAY
0,1,Juventus,84,38,23,15,0,68,20,45,19,13,6,0,40,12,39,19,10,9,0,28,8
1,2,Milan,80,38,24,8,6,74,33,41,19,12,5,2,36,11,39,19,12,3,4,38,22
2,3,Udinese,64,38,18,10,10,52,35,43,19,13,4,2,33,13,21,19,5,6,8,19,22
3,4,Lazio,62,38,18,8,12,56,47,36,19,10,6,3,28,16,26,19,8,2,9,28,31
4,5,Napoli,61,38,16,13,9,66,46,36,19,10,6,3,39,22,25,19,6,7,6,27,24
5,6,Inter,58,38,17,7,14,58,55,34,19,10,4,5,36,27,24,19,7,3,9,22,28
6,7,Parma,56,38,15,11,12,54,53,35,19,10,5,4,34,20,21,19,5,6,8,20,33
7,8,Roma,56,38,16,8,14,60,54,35,19,10,5,4,39,22,21,19,6,3,10,21,32
8,9,Atalanta,52,38,13,13,12,41,43,33,19,9,6,4,23,15,19,19,4,7,8,18,28
9,10,Bologna,51,38,13,12,13,41,43,28,19,8,4,7,23,24,23,19,5,8,6,18,19
10,11,Chievo Verona,49,38,12,13,13,35,45,30,19,8,6,5,16,15,19,19,4,7,8,19,30
11,12,Catania,48,38,11,15,12,47,52,32,19,9,5,5,24,15,16,19,2,10,7,23,37
12,13,Fiorentina,46,38,11,13,14,37,43,28,19,7,7,5,24,22,18,19,4,6,9,13,21
13,14,Siena,44,38,11,11,16,45,45,28,19,8,4,7,27,19,16,19,3,7,9,18,26
14,15,Cagliari,43,38,10,13,15,37,46,29,19,7,8,4,23,16,14,19,3,5,11,14,30
15,16,Palermo,43,38,11,10,17,52,62,33,19,10,3,6,38,30,10,19,1,7,11,14,32
16,17,Genoa,42,38,11,9,18,50,69,33,19,9,6,4,29,24,9,19,2,3,14,21,45
17,18,Lecce,36,38,8,12,18,40,56,15,19,3,6,10,22,29,21,19,5,6,8,18,27
18,19,Novara,32,38,7,11,20,35,65,23,19,5,8,6,20,27,9,19,2,3,14,15,38
19,20,Cesena,22,38,4,10,24,24,60,13,19,2,7,10,15,24,9,19,2,3,14,9,36
