,RANKING,TEAM,POINTS,GAMES,WINS,DRAWS,LOSSES,GOALS_FOR,GOALS_AGAINST,POINTS_HOME,GAMES_HOME,WINS_HOME,DRAWS_HOME,LOSSES_HOME,GOALS_FOR_HOME,GOALS_AGAINST_HOME,POINTS_AWAY,GAMES_AWAY,WINS_AWAY,DRAWS_AWAY,LOSSES_AWAY,GOALS_FOR_AWAY,GOALS_AGAINST_AWAY
0,1,Juventus,87,38,27,6,5,71,24,45,19,14,3,2,36,10,42,19,13,3,3,35,14
1,2,Napoli,78,38,23,9,6,73,36,46,19,14,4,1,44,18,32,19,9,5,5,29,18
2,3,Milan,72,38,21,9,8,67,39,41,19,13,2,4,33,15,31,19,8,7,4,34,24
3,4,Fiorentina,70,38,21,7,10,72,44,43,19,13,4,2,40,19,27,19,8,3,8,32,25
4,5,Udinese,66,38,18,12,8,59,45,40,19,11,7,1,31,16,26,19,7,5,7,28,29
5,6,Roma,62,38,18,8,12,71,56,35,19,10,5,4,40,24,27,19,8,3,8,31,32
6,7,Lazio,61,38,18,7,13,51,42,41,19,13,2,4,35,16,20,19,5,5,9,16,26
7,8,Catania,56,38,15,11,12,50,46,40,19,12,4,3,31,15,16,19,3,7,9,19,31
8,9,Inter,54,38,16,6,16,55,57,28,19,8,4,7,30,31,26,19,8,2,9,25,26
9,10,Parma,49,38,13,10,15,45,46,33,19,9,6,4,28,18,16,19,4,4,11,17,28
10,11,Cagliari,47,38,12,11,15,43,55,28,19,8,4,7,24,24,19,19,4,7,8,19,31
11,12,Chievo Verona,45,38,12,9,17,37,52,26,19,6,8,5,18,16,19,19,6,1,12,19,36
12,13,Bologna,44,38,11,11,16,46,52,26,19,6,8,5,30,24,18,19,5,3,11,16,28
13,14,Sampdoria,43,38,11,10,17,43,51,27,19,8,3,8,25,22,16,19,3,7,9,18,29
14,15,Atalanta,42,38,11,9,18,39,56,24,19,6,6,7,19,24,18,19,5,3,11,20,32
15,16,Torino,40,38,8,16,14,46,55,24,19,6,6,7,23,26,16,19,2,10,7,23,29
16,17,Genoa,38,38,8,14,16,38,52,22,19,5,7,7,26,30,16,19,3,7,9,12,22
17,18,Siena,36,38,9,9,20,36,57,23,19,6,5,8,16,19,13,19,3,4,12,20,38
18,19,Palermo,32,38,6,14,18,34,54,22,19,5,7,7,24,26,10,19,1,7,11,10,28
19,20,Pescara,22,38,6,4,28,27,84,13,19,4,1,14,15,42,9,19,2,3,14,12,42
