,RANKING,TEAM,POINTS,GAMES,WINS,DRAWS,LOSSES,GOALS_FOR,GOALS_AGAINST,POINTS_HOME,GAMES_HOME,WINS_HOME,DRAWS_HOME,LOSSES_HOME,GOALS_FOR_HOME,GOALS_AGAINST_HOME,POINTS_AWAY,GAMES_AWAY,WINS_AWAY,DRAWS_AWAY,LOSSES_AWAY,GOALS_FOR_AWAY,GOALS_AGAINST_AWAY
0,1,Juventus,91,38,27,10,1,71,24,47,19,14,5,0,33,9,44,19,13,5,1,38,15
1,2,Milan,88,38,28,4,6,85,31,55,19,18,1,0,50,13,33,19,10,3,6,35,18
2,3,Inter,76,38,23,7,8,68,30,49,19,16,1,2,47,13,27,19,7,6,6,21,17
3,4,Fiorentina,74,38,22,8,8,66,41,49,19,16,1,2,42,20,25,19,6,7,6,24,21
4,5,Roma,69,38,19,12,7,70,42,37,19,11,4,4,35,21,32,19,8,8,3,35,21
5,6,Lazio,62,38,16,14,8,57,47,40,19,11,7,1,34,18,22,19,5,7,7,23,29
6,7,Chievo Verona,54,38,13,15,10,54,49,35,19,9,8,2,33,19,19,19,4,7,8,21,30
7,8,Palermo,52,38,13,13,12,50,52,32,19,9,5,5,31,26,20,19,4,8,7,19,26
8,9,Livorno,49,38,12,13,13,37,44,31,19,8,7,4,22,17,18,19,4,6,9,15,27
9,10,Empoli,45,38,13,6,19,47,61,30,19,9,3,7,26,26,15,19,4,3,12,21,35
10,11,Parma,45,38,12,9,17,46,60,28,19,7,7,5,25,22,17,19,5,2,12,21,38
11,12,Ascoli Picchio,43,38,9,16,13,43,53,29,19,7,8,4,27,25,14,19,2,8,9,16,28
12,13,Udinese,43,38,11,10,17,40,54,23,19,6,5,8,19,22,20,19,5,5,9,21,32
13,14,Reggina,41,38,11,8,19,39,65,28,19,8,4,7,25,28,13,19,3,4,12,14,37
14,15,Sampdoria,41,38,10,11,17,47,51,24,19,6,6,7,29,29,17,19,4,5,10,18,22
15,16,Cagliari,39,38,8,15,15,42,55,29,19,6,11,2,23,17,10,19,2,4,13,19,38
16,17,Siena,39,38,9,12,17,42,60,20,19,5,5,9,18,27,19,19,4,7,8,24,33
17,18,Messina,31,38,6,13,19,33,59,21,19,4,9,6,19,25,10,19,2,4,13,14,34
18,19,Lecce,29,38,7,8,23,30,57,19,19,4,7,8,16,22,10,19,3,1,15,14,35
19,20,Treviso,21,38,3,12,23,24,56,10,19,2,4,13,12,26,11,19,1,8,10,12,30
